,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,card number
456,36,male,2,rent,little,little,3905,11,car,good,1455
457,35,male,2,free,little,little,3386,12,car,bad,1456
458,27,female,2,own,little,little,343,6,domestic appliances,good,1457
459,32,male,2,own,little,NA,4594,18,radio/TV,good,1458
460,37,male,2,own,little,little,3620,36,furniture/equipment,good,1459
461,36,male,2,own,little,little,1721,15,car,good,1460
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,1461
463,38,male,2,own,NA,moderate,754,12,education,good,1462
464,34,male,2,own,little,NA,1950,18,business,good,1463
465,63,male,2,own,little,little,2924,24,car,good,1464
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,1465
467,32,male,2,own,NA,NA,7238,48,radio/TV,good,1466
468,26,female,2,own,little,NA,2764,33,business,good,1467
469,35,male,1,own,little,NA,4679,24,car,good,1468
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,1469
471,23,female,2,own,little,little,448,6,education,bad,1470
472,28,male,1,own,little,little,654,9,car,bad,1471
473,36,male,3,own,NA,NA,1238,6,education,good,1472
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad,1473
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad,1474
476,24,male,2,own,quite rich,NA,2569,39,car,good,1475
477,25,male,2,own,little,rich,5152,24,radio/TV,good,1476
478,39,male,1,own,moderate,moderate,1037,12,business,good,1477
479,44,male,2,own,little,little,1478,15,furniture/equipment,good,1478
480,23,female,1,own,little,moderate,3573,12,radio/TV,good,1479
481,26,male,2,own,little,moderate,1201,24,car,good,1480
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good,1481
483,30,female,2,own,rich,NA,960,15,furniture/equipment,good,1482
484,44,male,2,own,quite rich,NA,1163,12,car,good,1483
485,47,male,3,own,little,moderate,1209,6,car,bad,1484
486,52,male,2,own,little,NA,3077,12,radio/TV,good,1485
487,62,female,2,free,little,NA,3757,24,car,good,1486
488,35,male,1,rent,moderate,NA,1418,10,car,good,1487
489,26,male,2,rent,little,NA,3518,6,car,good,1488
490,26,male,2,own,little,NA,1934,12,radio/TV,good,1489
491,42,female,3,free,little,moderate,8318,27,business,bad,1490
492,27,female,2,own,moderate,NA,1237,6,radio/TV,good,1491
493,38,male,2,own,NA,moderate,368,6,radio/TV,good,1492
494,39,male,1,rent,little,little,2122,12,car,good,1493
495,20,male,2,own,NA,little,2996,24,furniture/equipment,bad,1494
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,1495
497,40,male,2,own,little,NA,1585,24,furniture/equipment,good,1496
498,32,male,1,own,little,moderate,1301,18,radio/TV,good,1497
499,28,male,2,own,moderate,rich,1323,6,car,good,1498
500,27,female,2,own,little,little,3123,24,car,bad,1499
501,42,male,2,free,little,little,5493,36,car,good,1500
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good,1501
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad,1502
504,24,female,2,rent,little,little,1207,24,car,bad,1503
505,27,male,1,own,NA,NA,1309,10,car,bad,1504
506,36,male,2,own,quite rich,rich,2360,15,car,good,1505
507,34,male,3,own,moderate,moderate,6850,15,car,bad,1506
508,28,male,2,own,little,NA,1413,24,radio/TV,good,1507
509,45,male,3,own,moderate,NA,8588,39,car,good,1508
510,26,male,2,own,little,little,759,12,car,bad,1509
511,32,male,3,free,little,NA,4686,36,car,good,1510
512,26,male,2,rent,little,rich,2687,15,business,good,1511
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,1512
514,54,male,2,own,NA,NA,2255,24,car,good,1513
515,37,female,2,own,little,little,609,6,car,good,1514
516,40,male,1,own,little,little,1361,6,car,good,1515
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,bad,1516
518,43,male,2,own,moderate,little,1203,6,car,good,1517
519,36,male,2,free,NA,NA,700,6,radio/TV,good,1518
520,44,male,2,free,little,NA,5507,24,repairs,good,1519
521,24,female,2,own,little,little,3190,18,radio/TV,bad,1520
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad,1521
523,23,female,2,own,moderate,NA,3488,24,car,good,1522
524,26,female,1,own,little,moderate,1113,18,radio/TV,good,1523
525,30,male,2,own,little,moderate,7966,26,car,good,1524
526,31,female,2,own,moderate,NA,1532,15,education,good,1525
527,42,male,1,own,little,NA,1503,4,radio/TV,good,1526
528,31,male,2,rent,little,little,2302,36,radio/TV,bad,1527
529,41,male,1,own,little,little,662,6,car,good,1528
530,32,male,2,own,little,moderate,2273,36,education,good,1529
531,28,female,2,rent,moderate,moderate,2631,15,car,bad,1530
532,41,male,2,rent,little,NA,1503,12,car,good,1531
533,26,male,2,own,moderate,NA,1311,24,radio/TV,good,1532
534,25,male,2,own,NA,NA,3105,24,radio/TV,good,1533
535,33,male,2,rent,little,rich,2319,21,education,bad,1534
536,75,female,3,own,NA,little,1374,6,car,good,1535
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good,1536
538,42,male,3,free,little,little,7763,48,car,bad,1537
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good,1538
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad,1539
541,60,male,2,free,little,NA,2032,24,car,good,1540
542,31,male,2,own,NA,little,6350,30,furniture/equipment,bad,1541
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad,1542
544,61,male,1,own,little,NA,1255,12,car,good,1543
545,43,male,2,free,little,little,1333,24,car,bad,1544
546,37,female,2,own,little,NA,2022,24,car,good,1545
547,32,male,2,own,little,NA,1552,24,radio/TV,good,1546
548,24,female,1,own,little,little,626,12,radio/TV,bad,1547
549,35,male,2,free,NA,NA,8858,48,car,good,1548
550,23,female,2,own,NA,NA,996,12,repairs,good,1549
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,good,1550
552,34,male,2,own,little,little,6999,48,radio/TV,bad,1551
553,27,male,2,own,moderate,moderate,1995,12,car,good,1552
554,67,female,3,own,little,moderate,1199,9,education,good,1553
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad,1554
556,28,female,2,own,moderate,moderate,2278,18,car,bad,1555
557,29,female,2,own,NA,NA,5003,21,car,bad,1556
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad,1557
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad,1558
560,49,male,2,free,NA,little,2964,24,car,good,1559
561,24,male,1,rent,little,little,1546,24,radio/TV,bad,1560
562,29,female,2,own,little,rich,683,6,radio/TV,good,1561
563,37,male,2,free,NA,moderate,12389,36,car,bad,1562
564,37,male,3,own,NA,moderate,4712,24,business,good,1563
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good,1564
566,36,male,2,own,little,little,1372,12,car,bad,1565
567,34,male,2,own,rich,NA,2578,24,radio/TV,good,1566
568,41,male,2,own,NA,moderate,3979,48,radio/TV,good,1567
569,31,female,2,own,little,little,6758,48,radio/TV,bad,1568
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad,1569
571,38,male,2,own,little,NA,5954,30,radio/TV,good,1570
572,26,female,3,rent,NA,NA,5433,24,car,good,1571
573,22,female,1,own,little,little,806,15,business,good,1572
574,27,male,1,own,little,moderate,1082,9,radio/TV,good,1573
575,24,female,2,own,little,NA,2788,15,furniture/equipment,good,1574
576,27,female,2,own,little,moderate,2930,12,radio/TV,good,1575
577,33,female,2,own,NA,NA,1927,24,education,good,1576
578,27,male,2,own,little,moderate,2820,36,car,bad,1577
579,27,male,1,own,little,NA,937,24,education,good,1578
580,30,male,2,own,little,moderate,1056,18,car,bad,1579
581,49,male,1,own,little,moderate,3124,12,car,good,1580
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,good,1581
583,33,male,1,rent,little,moderate,2384,36,repairs,bad,1582
584,52,female,3,free,NA,NA,2133,12,car,good,1583
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad,1584
586,36,male,2,rent,little,little,2799,9,car,good,1585
587,21,male,1,own,little,little,1289,12,furniture/equipment,good,1586
588,47,male,1,own,little,little,1217,18,domestic appliances,bad,1587
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad,1588
590,58,female,1,own,little,little,385,12,radio/TV,good,1589
591,42,female,2,rent,NA,moderate,1965,24,car,good,1590
592,36,female,1,own,rich,NA,1572,21,business,good,1591
593,20,female,1,rent,little,moderate,2718,24,car,bad,1592
594,40,male,3,own,NA,little,1358,24,vacation/others,bad,1593
595,32,female,1,own,moderate,moderate,931,6,car,bad,1594
596,23,female,2,rent,little,little,1442,24,car,bad,1595
597,36,male,1,own,little,moderate,4241,24,business,bad,1596
598,31,male,2,own,little,NA,2775,18,car,bad,1597
599,32,male,2,free,little,NA,3863,24,business,good,1598
600,45,female,2,own,little,moderate,2329,7,radio/TV,good,1599
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad,1600
602,34,female,1,free,little,moderate,1837,24,education,bad,1601
603,28,female,3,own,little,NA,3349,36,furniture/equipment,bad,1602
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good,1603
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good,1604
606,74,male,3,own,little,NA,4526,24,business,good,1605
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad,1606
608,33,male,2,own,little,NA,2051,18,radio/TV,good,1607
609,45,male,2,free,NA,NA,1300,15,car,good,1608
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad,1609
611,48,female,1,free,moderate,rich,1240,10,car,bad,1610
612,29,female,2,own,rich,little,3357,21,radio/TV,good,1611
613,22,female,2,rent,little,little,3632,24,car,good,1612
614,22,female,2,own,little,NA,1808,18,furniture/equipment,bad,1613
615,48,male,3,own,NA,moderate,12204,48,business,good,1614
616,27,male,3,free,NA,moderate,9157,60,radio/TV,good,1615
617,37,male,2,rent,little,little,3676,6,car,good,1616
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad,1617
619,49,male,1,own,little,NA,640,12,car,good,1618
620,27,male,2,own,little,moderate,3652,21,business,good,1619
621,32,male,2,own,little,NA,1530,18,car,bad,1620
622,38,male,2,own,NA,NA,3914,48,business,bad,1621
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good,1622
624,65,male,2,free,little,little,2600,18,radio/TV,bad,1623
625,35,male,2,own,NA,NA,1979,15,radio/TV,good,1624
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good,1625
627,29,male,2,own,moderate,moderate,1437,9,car,bad,1626
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,good,1627
629,64,male,1,own,NA,NA,3832,9,education,good,1628
630,28,female,2,own,little,little,3660,24,radio/TV,good,1629
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad,1630
632,23,male,2,own,NA,moderate,1444,15,radio/TV,good,1631
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,bad,1632
634,25,female,1,own,little,moderate,1355,24,car,bad,1633
635,47,male,2,own,little,NA,1393,12,education,good,1634
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,good,1635
637,21,male,2,own,little,NA,15653,60,radio/TV,good,1636
638,34,female,2,own,little,NA,1493,12,radio/TV,good,1637
639,26,male,2,own,little,little,4370,42,radio/TV,bad,1638
640,27,female,0,own,little,little,750,18,education,bad,1639
641,38,male,1,own,little,moderate,1308,15,repairs,good,1640
642,40,male,3,own,moderate,NA,4623,15,education,bad,1641
643,33,male,2,own,little,NA,1851,24,radio/TV,good,1642
644,32,male,3,own,little,little,1880,18,radio/TV,good,1643
645,27,male,2,rent,NA,NA,7980,36,business,bad,1644
646,32,male,2,own,little,little,4583,30,furniture/equipment,good,1645
647,26,female,2,own,quite rich,NA,1386,12,car,bad,1646
648,38,male,2,free,little,rich,947,24,car,bad,1647
649,40,male,1,rent,little,little,684,12,education,bad,1648
650,50,male,3,free,little,little,7476,48,education,good,1649
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad,1650
652,45,male,2,own,little,little,2303,24,car,bad,1651
653,42,male,3,own,moderate,moderate,8086,36,car,bad,1652
654,35,male,2,own,little,NA,2346,24,car,good,1653
655,22,male,2,free,little,little,3973,14,car,good,1654
656,41,male,1,own,little,moderate,888,12,car,bad,1655
657,37,male,2,own,NA,NA,10222,48,radio/TV,good,1656
658,28,female,2,own,little,moderate,4221,30,business,good,1657
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good,1658
660,23,male,2,rent,little,rich,1297,12,radio/TV,good,1659
661,23,male,2,own,NA,little,900,12,car,bad,1660
662,50,male,2,own,little,NA,2241,21,furniture/equipment,good,1661
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good,1662
664,50,female,1,own,little,rich,1047,6,education,good,1663
665,27,male,3,own,little,NA,6314,24,vacation/others,good,1664
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good,1665
667,27,female,2,own,little,NA,3609,48,business,good,1666
668,43,male,2,rent,little,little,4843,12,car,bad,1667
669,47,male,2,own,little,rich,3017,30,radio/TV,good,1668
670,27,male,1,own,moderate,NA,4139,24,business,good,1669
671,31,male,2,own,moderate,NA,5742,36,business,good,1670
672,42,male,3,own,little,NA,10366,60,car,good,1671
673,24,male,2,own,quite rich,NA,2080,6,car,good,1672
674,41,male,1,own,quite rich,NA,2580,21,business,bad,1673
675,26,female,3,rent,little,NA,4530,30,radio/TV,good,1674
676,33,male,2,own,little,NA,5150,24,furniture/equipment,good,1675
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad,1676
678,64,male,1,rent,little,little,2384,24,radio/TV,good,1677
679,26,female,2,own,little,NA,1453,18,radio/TV,good,1678
680,56,female,2,own,little,NA,1538,6,education,good,1679
681,37,male,2,free,NA,NA,2279,12,radio/TV,good,1680
682,33,male,2,own,little,NA,1478,15,radio/TV,good,1681
683,47,male,2,free,little,NA,5103,24,radio/TV,good,1682
684,31,male,1,own,moderate,moderate,9857,36,business,good,1683
685,34,male,2,free,NA,NA,6527,60,car,good,1684
686,27,male,2,own,NA,rich,1347,10,radio/TV,good,1685
687,30,male,2,free,moderate,moderate,2862,36,car,good,1686
688,35,male,2,own,moderate,NA,2753,9,radio/TV,good,1687
689,31,male,2,own,rich,little,3651,12,car,good,1688
690,25,male,2,own,little,little,975,15,furniture/equipment,good,1689
691,25,female,1,own,moderate,moderate,2631,15,repairs,good,1690
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good,1691
693,44,male,1,own,NA,little,4716,6,car,good,1692
694,28,male,2,own,little,NA,2284,24,radio/TV,good,1693
695,50,male,2,rent,quite rich,NA,1236,6,car,good,1694
696,29,male,2,own,little,moderate,1103,12,radio/TV,good,1695
697,38,female,0,own,little,NA,926,12,car,good,1696
698,24,male,2,own,little,NA,1800,18,radio/TV,good,1697
699,40,male,3,rent,little,rich,1905,15,education,good,1698
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad,1699
701,46,male,2,free,little,little,6331,48,car,bad,1700
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good,1701
703,41,male,2,own,moderate,moderate,2503,30,business,good,1702
704,32,female,2,own,little,moderate,2528,27,business,good,1703
705,35,female,2,free,quite rich,NA,5324,15,car,good,1704
706,24,male,2,own,moderate,moderate,6560,48,car,bad,1705
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad,1706
708,25,female,2,own,little,moderate,1206,9,radio/TV,good,1707
709,37,male,1,own,little,moderate,2118,9,radio/TV,good,1708
710,32,male,3,own,quite rich,NA,629,18,radio/TV,good,1709
711,35,female,2,free,little,little,1198,6,education,bad,1710
712,46,male,3,own,NA,NA,2476,21,car,good,1711
713,25,male,1,own,little,little,1138,9,radio/TV,good,1712
714,27,male,3,own,little,moderate,14027,60,car,bad,1713
715,63,male,2,own,NA,NA,7596,30,car,good,1714
716,40,male,2,own,NA,NA,3077,30,radio/TV,good,1715
717,32,male,3,free,little,NA,1505,18,radio/TV,good,1716
718,31,male,2,own,NA,rich,3148,24,radio/TV,good,1717
719,31,male,2,own,moderate,moderate,6148,20,car,good,1718
720,34,male,3,own,little,rich,1337,9,radio/TV,bad,1719
721,24,female,2,rent,rich,moderate,433,6,education,bad,1720
722,24,female,1,own,little,little,1228,12,car,bad,1721
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good,1722
724,21,female,2,rent,little,NA,2570,27,car,bad,1723
725,41,female,1,own,rich,NA,250,6,car,good,1724
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,good,1725
727,25,female,2,rent,little,little,1882,18,radio/TV,bad,1726
728,59,female,2,rent,little,moderate,6416,48,business,bad,1727
729,36,male,2,own,rich,rich,1275,24,business,good,1728
730,33,male,2,own,little,moderate,6403,24,radio/TV,good,1729
731,21,male,1,rent,little,little,1987,24,radio/TV,bad,1730
732,44,female,1,own,little,moderate,760,8,radio/TV,good,1731
733,28,female,2,rent,rich,NA,2603,24,car,good,1732
734,37,female,2,own,little,NA,3380,4,car,good,1733
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,good,1734
736,23,female,3,rent,little,moderate,11560,24,car,bad,1735
737,35,male,1,own,moderate,little,4380,18,car,good,1736
738,45,male,3,own,little,NA,6761,6,car,good,1737
739,26,female,1,rent,moderate,moderate,4280,30,business,bad,1738
740,32,male,2,own,moderate,little,2325,24,car,good,1739
741,23,male,1,own,little,moderate,1048,10,radio/TV,good,1740
742,41,male,2,own,NA,NA,3160,21,radio/TV,good,1741
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good,1742
744,30,male,3,own,NA,little,14179,39,furniture/equipment,good,1743
745,28,male,1,own,little,little,1797,13,business,good,1744
746,23,female,2,rent,little,little,2511,15,car,good,1745
747,37,female,1,own,little,little,1274,12,car,bad,1746
748,26,male,2,own,NA,NA,5248,21,car,good,1747
749,33,male,2,own,little,NA,3029,15,car,good,1748
750,49,female,2,own,little,little,428,6,furniture/equipment,good,1749
751,23,female,1,own,little,little,976,18,car,bad,1750
752,23,female,1,rent,moderate,moderate,841,12,business,good,1751
753,25,female,2,own,little,NA,5771,30,radio/TV,good,1752
754,55,male,2,free,rich,NA,1555,12,repairs,bad,1753
755,32,female,2,rent,NA,little,1285,24,car,bad,1754
756,74,male,0,own,little,rich,1299,6,car,good,1755
757,39,male,2,free,NA,rich,1271,15,radio/TV,bad,1756
758,31,male,2,own,little,NA,1393,24,car,good,1757
759,35,male,2,own,little,little,691,12,car,bad,1758
760,59,female,2,own,NA,NA,5045,15,car,good,1759
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad,1760
762,24,male,1,own,little,little,2214,12,radio/TV,good,1761
763,30,male,3,free,NA,NA,12680,21,car,bad,1762
764,27,male,2,own,moderate,NA,2463,24,car,good,1763
765,40,male,1,own,little,moderate,1155,12,radio/TV,good,1764
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad,1765
767,31,female,2,rent,NA,NA,2901,10,car,good,1766
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good,1767
769,63,male,1,own,little,NA,1655,12,radio/TV,good,1768
770,26,female,2,rent,NA,little,2812,24,car,good,1769
771,25,female,3,own,little,little,8065,36,education,bad,1770
772,36,male,3,own,little,NA,3275,21,car,good,1771
773,52,male,2,own,moderate,NA,2223,24,radio/TV,good,1772
774,66,male,0,free,quite rich,rich,1480,12,car,good,1773
775,25,female,2,rent,NA,little,1371,24,car,bad,1774
776,37,male,2,own,little,NA,3535,36,car,good,1775
777,25,female,2,own,little,little,3509,18,radio/TV,good,1776
778,38,male,3,own,rich,NA,5711,36,car,good,1777
779,67,female,2,own,little,moderate,3872,18,repairs,good,1778
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad,1779
781,60,male,2,own,rich,NA,1940,24,car,good,1780
782,31,male,1,own,little,moderate,1410,12,education,good,1781
783,23,female,1,own,moderate,moderate,836,12,car,bad,1782
784,60,male,3,own,NA,moderate,6468,20,car,good,1783
785,35,male,1,own,rich,moderate,1941,18,business,good,1784
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,good,1785
787,38,male,2,own,NA,NA,2751,48,car,good,1786
788,50,male,2,free,little,moderate,6224,48,education,bad,1787
789,27,male,2,own,little,little,5998,40,education,bad,1788
790,39,female,2,own,little,moderate,1188,21,business,bad,1789
791,41,male,3,own,NA,NA,6313,24,car,good,1790
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,good,1791
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good,1792
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good,1793
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good,1794
796,51,male,2,free,NA,little,7511,18,car,bad,1795
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,good,1796
798,54,male,2,own,NA,NA,717,24,car,good,1797
799,35,male,0,own,NA,moderate,1549,9,car,good,1798
800,54,male,2,free,little,NA,1597,24,education,good,1799
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good,1800
802,24,female,2,own,little,little,4272,20,furniture/equipment,good,1801
803,35,male,2,own,NA,NA,976,12,radio/TV,good,1802
804,24,female,0,rent,NA,moderate,7472,12,car,good,1803
805,24,male,2,own,little,little,9271,36,car,bad,1804
806,26,male,1,own,little,moderate,590,6,radio/TV,good,1805
807,65,male,2,own,NA,NA,930,12,radio/TV,good,1806
808,55,male,3,free,little,moderate,9283,42,car,good,1807
809,26,female,0,rent,little,moderate,1778,15,car,bad,1808
810,26,male,2,own,little,moderate,907,8,business,good,1809
811,28,male,1,own,little,moderate,484,6,radio/TV,good,1810
812,24,male,2,own,little,little,9629,36,car,bad,1811
813,54,male,2,own,little,little,3051,48,domestic appliances,bad,1812
814,46,male,2,free,little,little,3931,48,car,bad,1813
815,54,female,2,rent,little,moderate,7432,36,car,good,1814
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,good,1815
817,24,female,2,rent,little,NA,1554,6,radio/TV,good,1816
818,43,male,3,own,little,little,15857,36,vacation/others,good,1817
819,26,male,2,own,little,little,1345,18,radio/TV,bad,1818
820,27,male,2,own,little,NA,1101,12,car,good,1819
821,24,male,2,own,little,rich,3016,12,radio/TV,good,1820
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad,1821
823,47,male,1,own,little,little,731,8,car,good,1822
824,35,male,3,own,little,NA,3780,18,furniture/equipment,good,1823
825,30,male,2,own,little,little,1602,21,car,good,1824
826,33,female,2,rent,little,little,3966,18,car,bad,1825
827,36,male,2,own,little,NA,4165,18,business,bad,1826
828,47,male,2,free,NA,little,8335,36,car,bad,1827
829,38,male,2,free,NA,moderate,6681,48,business,good,1828
830,44,male,2,own,quite rich,NA,2375,24,business,good,1829
831,23,female,2,rent,little,little,1216,18,car,bad,1830
832,29,male,2,rent,little,little,11816,45,business,bad,1831
833,42,female,2,own,NA,moderate,5084,24,radio/TV,good,1832
834,25,female,1,own,little,rich,2327,15,radio/TV,bad,1833
835,48,male,2,own,little,little,1082,12,car,bad,1834
836,21,female,2,own,NA,NA,886,12,radio/TV,good,1835
837,23,female,1,rent,little,NA,601,4,furniture/equipment,good,1836
838,63,male,2,own,little,little,2957,24,car,good,1837
839,46,male,2,own,little,NA,2611,24,radio/TV,good,1838
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad,1839
841,28,male,1,own,little,NA,2993,21,car,good,1840
842,23,female,2,own,little,NA,1943,18,repairs,bad,1841
843,50,male,2,own,little,NA,1559,24,business,good,1842
844,47,male,2,own,little,NA,3422,18,furniture/equipment,good,1843
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,good,1844
846,68,male,2,rent,NA,NA,6761,18,car,bad,1845
847,28,male,2,own,little,NA,1249,24,car,good,1846
848,59,male,2,own,little,little,1364,9,radio/TV,good,1847
849,57,male,1,own,little,little,709,12,radio/TV,bad,1848
850,33,male,2,rent,little,little,2235,20,car,bad,1849
851,43,male,2,own,NA,NA,4042,24,car,good,1850
852,35,male,2,free,little,NA,1471,15,radio/TV,good,1851
853,32,male,1,free,little,little,1442,18,car,bad,1852
854,45,male,2,own,little,NA,10875,36,car,good,1853
855,33,male,2,own,moderate,NA,1474,24,car,good,1854
856,40,female,2,own,NA,NA,894,10,education,good,1855
857,28,male,2,free,little,NA,3343,15,furniture/equipment,good,1856
858,29,female,2,own,little,little,3959,15,car,bad,1857
859,26,male,2,rent,moderate,NA,3577,9,car,good,1858
860,27,male,2,own,rich,NA,5804,24,car,good,1859
861,28,male,2,own,little,NA,2169,18,business,bad,1860
862,35,female,2,own,little,little,2439,24,radio/TV,bad,1861
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,good,1862
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,bad,1863
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good,1864
866,27,female,2,own,little,little,2389,18,radio/TV,good,1865
867,42,male,2,own,little,NA,3331,12,furniture/equipment,good,1866
868,37,male,2,own,NA,NA,7409,36,business,good,1867
869,24,female,2,rent,little,little,652,12,furniture/equipment,good,1868
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good,1869
871,46,male,2,own,little,rich,1343,6,car,good,1870
872,26,male,2,own,moderate,little,1382,24,business,good,1871
873,24,female,2,own,NA,NA,874,15,domestic appliances,good,1872
874,29,male,1,own,little,little,3590,12,furniture/equipment,good,1873
875,40,female,2,own,rich,moderate,1322,11,car,good,1874
876,36,male,3,free,little,little,1940,18,radio/TV,good,1875
877,28,male,2,own,little,NA,3595,36,radio/TV,good,1876
878,27,male,3,free,little,little,1422,9,car,bad,1877
879,36,male,2,own,NA,NA,6742,30,radio/TV,good,1878
880,38,male,3,own,little,NA,7814,24,car,good,1879
881,48,male,2,free,NA,NA,9277,24,car,good,1880
882,36,male,2,own,NA,moderate,2181,30,car,good,1881
883,65,female,0,own,little,NA,1098,18,radio/TV,good,1882
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad,1883
885,53,female,2,own,little,little,795,12,education,bad,1884
886,34,male,2,own,NA,moderate,2825,24,business,good,1885
887,23,male,2,own,little,moderate,15672,48,business,bad,1886
888,34,male,3,own,little,NA,6614,36,car,good,1887
889,40,male,2,rent,NA,NA,7824,28,car,good,1888
890,43,male,3,own,little,little,2442,27,business,good,1889
891,46,male,2,own,little,NA,1829,15,radio/TV,good,1890
892,38,male,1,own,little,little,2171,12,car,good,1891
893,34,male,2,own,little,moderate,5800,36,car,good,1892
894,29,male,2,own,NA,NA,1169,18,radio/TV,good,1893
895,31,male,3,own,NA,NA,8947,36,car,good,1894
896,28,female,3,rent,little,little,2606,21,radio/TV,good,1895
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,good,1896
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,good,1897
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad,1898
900,43,male,2,rent,little,little,2625,16,car,bad,1899
901,44,male,2,own,NA,NA,3485,20,car,good,1900
902,42,male,2,free,NA,NA,10477,36,car,good,1901
903,40,male,2,rent,NA,NA,1386,15,radio/TV,good,1902
904,36,male,3,own,little,NA,1278,24,radio/TV,good,1903
905,20,male,3,rent,little,little,1107,12,radio/TV,good,1904
906,24,male,1,own,NA,little,3763,21,car,good,1905
907,27,male,2,own,NA,moderate,3711,36,education,good,1906
908,46,female,1,own,little,NA,3594,15,car,good,1907
909,33,female,1,own,NA,moderate,3195,9,car,good,1908
910,34,female,2,own,little,NA,4454,36,radio/TV,good,1909
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad,1910
912,25,female,2,own,NA,moderate,2991,30,radio/TV,good,1911
913,28,male,2,own,rich,NA,2142,11,business,good,1912
914,31,male,2,rent,little,little,3161,24,business,bad,1913
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad,1914
916,32,male,2,own,moderate,NA,2848,10,car,good,1915
917,68,male,3,own,little,little,14896,6,car,bad,1916
